,Shot_num,Z_gate_cond_bit,Z_bit_basis,X_bit_basis,Sdg_gate_applied,H_gate_applied,Measure_basis,Outcome
0,1,1,0,1,0,1,Z,1
1,2,0,1,1,1,1,Y,0
2,3,1,1,0,0,0,Z,1
3,4,1,1,1,1,1,Y,0
4,5,0,0,0,0,0,Z,0
5,6,1,1,0,0,0,Z,1
6,7,0,0,0,0,0,Z,0
7,8,0,1,0,0,0,Z,0
8,9,0,0,1,0,1,Z,0
9,10,1,0,1,0,1,Z,1
